,State,County,Census_Tract,Population
0,AK,Aleutians East,3141,1
1,AK,Aleutians West,5561,2
2,AK,Anchorage,291826,55
3,AK,Bethel,17013,3
4,AK,Bristol Bay,997,1
5,AK,Denali,1826,1
6,AK,Dillingham,4847,2
7,AK,Fairbanks North Star,97581,19
8,AK,Haines,2508,1
9,AK,Hoonah-Angoon,2150,2
10,AK,Juneau,31275,6
11,AK,Kenai Peninsula,55400,13
12,AK,Ketchikan Gateway,13477,4
13,AK,Kodiak Island,13592,5
14,AK,Lake and Peninsula,1631,1
15,AK,Matanuska-Susitna,88995,24
16,AK,Nome,9492,2
17,AK,North Slope,9430,3
18,AK,Northwest Arctic,7523,2
19,AK,Petersburg,3815,1
20,AK,Prince of Wales-Hyder,5559,4
21,AK,Sitka,8881,2
22,AK,Skagway,968,1
23,AK,Southeast Fairbanks,7029,2
24,AK,Valdez-Cordova,9636,3
25,AK,Wade Hampton,7459,1
26,AK,Wrangell,2369,1
27,AK,Yakutat,662,1
28,AK,Yukon-Koyukuk,5588,4
29,AL,Autauga,54571,12
30,AL,Baldwin,182265,31
31,AL,Barbour,27457,9
32,AL,Bibb,22915,4
33,AL,Blount,57322,9
34,AL,Bullock,10914,3
35,AL,Butler,20947,9
36,AL,Calhoun,118572,31
37,AL,Chambers,34215,9
38,AL,Cherokee,25989,6
39,AL,Chilton,43643,9
40,AL,Choctaw,13859,4
41,AL,Clarke,25833,9
42,AL,Clay,13932,4
43,AL,Cleburne,14972,4
44,AL,Coffee,49948,14
45,AL,Colbert,54428,14
46,AL,Conecuh,13228,5
47,AL,Coosa,11539,3
48,AL,Covington,37765,14
49,AL,Crenshaw,13906,6
50,AL,Cullman,80406,18
51,AL,Dale,50251,14
52,AL,Dallas,43820,15
53,AL,DeKalb,71109,14
54,AL,Elmore,79303,15
55,AL,Escambia,38319,9
56,AL,Etowah,104430,30
57,AL,Fayette,17241,5
58,AL,Franklin,31704,9
59,AL,Geneva,26790,6
60,AL,Greene,9045,3
61,AL,Hale,15760,6
62,AL,Henry,17302,6
63,AL,Houston,101547,22
64,AL,Jackson,53227,11
65,AL,Jefferson,658466,163
66,AL,Lamar,14564,3
67,AL,Lauderdale,92709,22
68,AL,Lawrence,34339,9
69,AL,Lee,140247,27
70,AL,Limestone,82782,16
71,AL,Lowndes,11299,4
72,AL,Macon,21452,12
73,AL,Madison,334811,73
74,AL,Marengo,21027,6
75,AL,Marion,30776,8
76,AL,Marshall,93019,18
77,AL,Mobile,412992,114
78,AL,Monroe,23068,7
79,AL,Montgomery,229363,65
80,AL,Morgan,119490,27
81,AL,Perry,10591,3
82,AL,Pickens,19746,5
83,AL,Pike,32899,8
84,AL,Randolph,22913,6
85,AL,Russell,52947,13
86,AL,Shelby,195085,48
87,AL,St. Clair,83593,13
88,AL,Sumter,13763,4
89,AL,Talladega,82291,22
90,AL,Tallapoosa,41616,10
91,AL,Tuscaloosa,194656,47
92,AL,Walker,67023,18
93,AL,Washington,17581,5
94,AL,Wilcox,11670,4
95,AL,Winston,24484,7
96,AR,Arkansas,19019,8
97,AR,Ashley,21853,7
98,AR,Baxter,41513,9
99,AR,Benton,221339,49
100,AR,Boone,36903,7
101,AR,Bradley,11508,5
102,AR,Calhoun,5368,2
103,AR,Carroll,27446,5
104,AR,Chicot,11800,4
105,AR,Clark,22995,5
106,AR,Clay,16083,6
107,AR,Cleburne,25970,7
108,AR,Cleveland,8689,2
109,AR,Columbia,24552,5
110,AR,Conway,21273,6
111,AR,Craighead,96443,17
112,AR,Crawford,61948,11
113,AR,Crittenden,50902,20
114,AR,Cross,17870,6
115,AR,Dallas,8116,3
116,AR,Desha,13008,5
117,AR,Drew,18509,5
118,AR,Faulkner,113237,25
119,AR,Franklin,18125,3
120,AR,Fulton,12245,2
121,AR,Garland,96024,20
122,AR,Grant,17853,4
123,AR,Greene,42090,9
124,AR,Hempstead,22609,5
125,AR,Hot Spring,32923,7
126,AR,Howard,13789,3
127,AR,Independence,36647,8
128,AR,Izard,13696,4
129,AR,Jackson,17997,5
130,AR,Jefferson,77435,24
131,AR,Johnson,25540,6
132,AR,Lafayette,7645,2
133,AR,Lawrence,17415,6
134,AR,Lee,10424,4
135,AR,Lincoln,14134,4
136,AR,Little River,13171,4
137,AR,Logan,22353,6
138,AR,Lonoke,68356,16
139,AR,Madison,15717,4
140,AR,Marion,16653,4
141,AR,Miller,43462,12
142,AR,Mississippi,46480,12
143,AR,Monroe,8149,3
144,AR,Montgomery,9487,3
145,AR,Nevada,8997,3
146,AR,Newton,8330,2
147,AR,Ouachita,26120,6
148,AR,Perry,10445,3
149,AR,Phillips,21757,6
150,AR,Pike,11291,3
151,AR,Poinsett,24583,7
152,AR,Polk,20662,6
153,AR,Pope,61754,11
154,AR,Prairie,8715,3
155,AR,Pulaski,382748,95
156,AR,Randolph,17969,4
157,AR,Saline,107118,21
158,AR,Scott,11233,3
159,AR,Searcy,8195,3
160,AR,Sebastian,125744,26
161,AR,Sevier,17058,4
162,AR,Sharp,17264,4
163,AR,St. Francis,28258,6
164,AR,Stone,12394,3
165,AR,Union,41639,10
166,AR,Van Buren,17295,5
167,AR,Washington,203065,32
168,AR,White,77076,13
169,AR,Woodruff,7260,2
170,AR,Yell,22185,6
171,AZ,Apache,71518,16
172,AZ,Cochise,131346,32
173,AZ,Coconino,134421,28
174,AZ,Gila,53597,16
175,AZ,Graham,37220,9
176,AZ,Greenlee,8437,3
177,AZ,La Paz,20489,9
178,AZ,Maricopa,3817117,916
179,AZ,Mohave,200186,43
180,AZ,Navajo,107449,31
181,AZ,Pima,980263,241
182,AZ,Pinal,375770,75
183,AZ,Santa Cruz,47420,10
184,AZ,Yavapai,211033,42
185,AZ,Yuma,195751,55
186,CA,Alameda,1510271,360
187,CA,Alpine,1175,1
188,CA,Amador,38091,9
189,CA,Butte,220000,51
190,CA,Calaveras,45578,10
191,CA,Colusa,21419,5
192,CA,Contra Costa,1049025,208
193,CA,Del Norte,28610,7
194,CA,El Dorado,181058,43
195,CA,Fresno,930450,199
196,CA,Glenn,28122,6
197,CA,Humboldt,134623,30
198,CA,Imperial,174528,31
199,CA,Inyo,18546,6
200,CA,Kern,839631,151
201,CA,Kings,152982,27
202,CA,Lake,64665,15
203,CA,Lassen,34895,9
204,CA,Los Angeles,9818605,2343
205,CA,Madera,150865,23
206,CA,Marin,252409,55
207,CA,Mariposa,18251,6
208,CA,Mendocino,87841,20
209,CA,Merced,255793,49
